date;ghi;dhi;temp_amb;col_ira;eta_c;collectors_heat
1970-01-01 00:00:00.000000001+01:00;0;0.0;3;0.0;0.0;0.0
1970-01-01 01:00:00.000000001+01:00;0;0.0;3;0.0;0.0;0.0
1970-01-01 02:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-01 03:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-01 04:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-01 05:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-01 06:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-01 07:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-01 08:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-01 09:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-01 10:00:00.000000001+01:00;9;9.0;6;8.948726166416202;0.0;0.0
1970-01-01 11:00:00.000000001+01:00;87;71.58935097;7;77.20018133743262;0.11388745756822087;8.792132376325815
1970-01-01 12:00:00.000000001+01:00;69;69.0;9;68.60690060919087;0.10679738305694253;7.327037444709341
1970-01-01 13:00:00.000000001+01:00;112;100.39216479999999;9;103.52065062641314;0.3169809575067444;32.8140749572816
1970-01-01 14:00:00.000000001+01:00;129;93.95959036;10;98.88472562094573;0.321443473738653;31.785849703290378
1970-01-01 15:00:00.000000001+01:00;76;68.19326977;10;67.81959161775853;0.1343019275654076;9.108301880963731
1970-01-01 16:00:00.000000001+01:00;4;4.0;10;3.977211629518312;0.0;0.0
1970-01-01 17:00:00.000000001+01:00;0;0.0;9;0.0;0.0;0.0
1970-01-01 18:00:00.000000001+01:00;0;0.0;9;0.0;0.0;0.0
1970-01-01 19:00:00.000000001+01:00;0;0.0;8;0.0;0.0;0.0
1970-01-01 20:00:00.000000001+01:00;0;0.0;8;0.0;0.0;0.0
1970-01-01 21:00:00.000000001+01:00;0;0.0;8;0.0;0.0;0.0
1970-01-01 22:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-01 23:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-02 00:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-02 01:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-02 02:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-02 03:00:00.000000001+01:00;0;0.0;5;0.0;0.0;0.0
1970-01-02 04:00:00.000000001+01:00;0;0.0;5;0.0;0.0;0.0
1970-01-02 05:00:00.000000001+01:00;0;0.0;4;0.0;0.0;0.0
1970-01-02 06:00:00.000000001+01:00;0;0.0;4;0.0;0.0;0.0
1970-01-02 07:00:00.000000001+01:00;0;0.0;3;0.0;0.0;0.0
1970-01-02 08:00:00.000000001+01:00;0;0.0;3;0.0;0.0;0.0
1970-01-02 09:00:00.000000001+01:00;0;0.0;2;0.0;0.0;0.0
1970-01-02 10:00:00.000000001+01:00;47;37.57155865;4;40.250211319037696;0.0;0.0
1970-01-02 11:00:00.000000001+01:00;132;69.72163199;6;93.89038258939073;0.1972936820511835;18.52397929025523
1970-01-02 12:00:00.000000001+01:00;131;98.85021832;8;110.79136681752985;0.3225314282443067;35.73369777679679
1970-01-02 13:00:00.000000001+01:00;134;105.32916499999999;8;114.00831522995313;0.33402888237629685;38.08207011786578
1970-01-02 14:00:00.000000001+01:00;173;96.68198521;9;108.62363095011156;0.3363839918991763;36.53925059358144
1970-01-02 15:00:00.000000001+01:00;81;65.54646163;9;65.202384113622;0.07425710683380575;4.841740402944068
1970-01-02 16:00:00.000000001+01:00;54;39.22114373;8;39.025762745822675;0.0;0.0
1970-01-02 17:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-02 18:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-02 19:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-02 20:00:00.000000001+01:00;0;0.0;7;0.0;0.0;0.0
1970-01-02 21:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-02 22:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
1970-01-02 23:00:00.000000001+01:00;0;0.0;6;0.0;0.0;0.0
